oldSubID,newID,group,site,day,run,resp_rate_trial_mean,resp_rate_trial_std,resp_pairs_sum_std,RTs_first_resp_mean,RTs_first_resp_std,isCorrectResp_prop_mean,isCorrectResp_prop_std,resp_pairs_sum_slope,resp_pairs_sum_spearman_corr,resp_time_diff_mean,resp_time_diff_std,volatility,right_vs_left,sweet_vs_salty,post_reward_RT_mean,post_reward_RT_std,resp_time_diff_after_reward_mean,resp_time_diff_after_reward_std,run_burstiness
1,51,1-day,Caltech1,1,1,4.44793662100263,0.77216078434303,0.773119228573009,1.19625642182154,0.252078695117405,0.993447319904604,0.0100239118520159,0.294449036565548,0.6,0.211385811995129,0.136813717094129,0.066666798234052,188,-180,0.0905044335982633,0.0862738307272012,0.0168194676308043,0.100087187853237,-0.214164835593114
2,52,1-day,Caltech1,1,1,4.04467632352819,0.36929574264957,0.428290885082901,0.970589543642442,0.479302003538749,0.994602082902654,0.00845225101344651,-0.0702022911258716,-0.428571428571429,0.241797387862801,0.118758332171905,0.0687928339088736,-20,-20,0.124221311076413,0.110797055258519,0.014837132029482,0.054547312350787,-0.341248380913365
3,53,1-day,Caltech1,1,1,1.56466716152513,0.100611184044331,0.0896412555868778,1.16503818364421,0.201667822297455,0.99576031656303,0.0106263250098992,-0.0143936994107591,-0.0857142857142857,0.616704244243361,0.258176971086811,0.147617186004454,5,-5,0.248324068656148,0.212157595395701,-0.017728613181338,0.610955452778227,-0.409801087135293
4,54,1-day,Caltech1,1,1,4.03138796387832,0.212653305235773,0.311696133994434,1.20156506104589,1.02100829536203,0.99269975984769,0.0113921947856984,-0.162128465460561,-1,0.23562049841502,0.149887066980479,0.0740002613700458,8,2,0.0832718602112436,0.0350613417183787,0.00278713523999986,0.065606940756532,-0.222391047881475
5,55,1-day,Caltech1,1,1,0.936967542639069,0.180705740445174,0.311727126696292,1.30409762649703,0.398749713051872,0.99780701754386,0.00759671406828454,-0.102566411818249,-0.485714285714286,0.988533499534676,0.795474887702827,0.600398978838511,-10,12,0.912095482615323,0.94281872195507,0.962956114774035,1.70834760477993,-0.108216201904071
6,56,1-day,Caltech1,1,1,4.6564491715529,0.498152665486173,0.823135148705984,1.01219200393128,0.184503915075309,0.996311829465874,0.00547560515061046,0.191212986341395,0.257142857142857,0.204539768622182,0.118459382085033,0.0761919271872974,-75,-73,0.0975525297390483,0.0943869549180001,0.0486725135675442,0.106661089860113,-0.266503445438398
7,57,1-day,Caltech1,1,1,4.46196028632673,0.268442926180306,0.386277693618919,0.752944996785601,0.136761940305608,0.994775317138913,0.00757322556969287,-0.0895638739455469,0.0285714285714286,0.220264887385244,0.125915349960108,0.0572244002251043,19,15,0.0730937237657959,0.0337090653401843,4.05135583605443e-05,0.0197754110958685,-0.27254455121022
8,58,1-day,Caltech1,1,1,4.31288650450937,0.279569200880588,0.469198132584782,0.973890892444615,0.189779806723117,0.996045621852554,0.00525405151156982,0.0763825193773355,0.0857142857142857,0.22568766972201,0.141641981603244,0.0691007801158363,16,-18,0.095495693269127,0.0714447886098453,0.0236055916202531,0.13522670945473,-0.22880180735627
9,59,1-day,Caltech1,1,1,3.43953725548959,0.275773262047474,0.409270172146657,0.947804481277672,0.21445375838644,0.996462105969148,0.00877690490623377,0.00724101936515388,0.142857142857143,0.28315408756785,0.141857430465647,0.0813065992464775,51,57,0.112187252698927,0.0629883153245518,0.00765229196583407,0.0556282939166553,-0.33245371268048
10,60,1-day,Caltech1,1,1,2.91332697909177,0.364181243639341,0.590255726231661,0.904418771964174,0.242487831764598,0.995446339196339,0.00698708121466165,0.206549723215056,0.428571428571429,0.330846186113432,0.20788373860049,0.134957937008588,4,-4,0.189123018744673,0.180376784280355,0.12177780857437,0.278788185243299,-0.228245066539115
11,61,1-day,Caltech1,1,1,0.142607223781354,0.118016369438618,0.233496673750589,1.55253775566988,0.321168334543488,1,0,-0.113208837969446,-0.942857142857143,4.30297147657413,4.43956789461268,1.36992911278652,8,8,2.74552339797175,5.82703317307106,4.27643413221569,7.19840494348807,0.0156243411941318
12,62,1-day,Caltech1,1,1,0.895894687444474,0.544907339610523,0.758822936325017,1.6617661447508,0.475561568987983,0.991645781119465,0.019540496693677,0.326497182364378,0.771428571428571,1.14434879850451,1.00416737216587,0.565623259590784,77,-73,0.74857875694961,0.730079275304842,0.101960707573787,1.78851651047766,-0.0652456929355575
13,63,1-day,Caltech1,1,1,3.52484044474177,0.41594717396681,0.730059900382792,0.879260479008584,0.194052005045847,0.995007634408239,0.00631554759867959,0.356065193103314,1,0.2790390001056,0.162237103947399,0.111014133453497,-39,37,0.123519512282946,0.0765075633505084,0.0144757886526349,0.162307779308419,-0.264691187864941
14,64,1-day,Caltech1,1,1,2.80902385432887,0.274923419391149,0.549718337530482,0.903368074803439,0.208415130086691,0.995646843215953,0.00693000163654562,0.284751937283661,1,0.337986138701476,0.13126010405441,0.0816888599408123,-13,-9,0.141940276195003,0.0746082053016895,0.0113798361770158,0.039792539171841,-0.440549152685725
15,65,1-day,Caltech1,1,1,0.97728791024885,0.56873794511214,1.07000899268521,1.23628632865772,0.309966739310171,0.997222222222222,0.00962250448649376,-0.538701204591642,-0.942857142857143,0.952287309613688,0.847691249059999,0.479813482975437,-61,63,0.660115112424103,0.621200012547173,0.445082982376572,0.770464932345824,-0.0581096147227224
16,66,1-day,Caltech1,1,1,4.4492419233365,0.272294137422588,0.472065744157339,0.809307722182287,0.388702769265926,0.99546107281725,0.0109310041883489,-0.230231712516079,-0.942857142857143,0.218139543744114,0.114971284497676,0.0496516396763255,16,22,0.0875161200502771,0.0177589051607474,0.0133854350457841,0.0472459406322782,-0.309711514906242
